ticket_id,client_id,technician_id,category,priority,opened_at,closed_at,status,summary
1,24,1,Software,Medium,2024-01-17 18:15:33,2024-01-20 00:11:08,Closed,PDF reader missing
2,22,8,Network,Medium,2024-01-06 12:13:51,2024-01-06 21:30:39,Closed,Slow file share access
3,39,4,Accounts,High,2024-01-18 13:20:48,2024-01-18 18:03:09,Closed,Shared mailbox access
4,38,2,Security,Low,2024-01-16 16:31:55,2024-01-17 11:55:38,Closed,Malware quarantine review
5,23,2,Hardware,Medium,2024-01-14 07:14:10,2024-01-15 07:59:42,Closed,Keyboard keys unresponsive
6,35,5,Software,Medium,2024-01-25 13:56:56,2024-01-27 21:29:02,Closed,Browser extension breaks portal
7,4,3,Software,Critical,2024-01-28 14:17:58,2024-01-28 17:59:30,Closed,Excel crashes on open
8,23,6,Software,Critical,2024-01-09 11:04:05,2024-01-09 13:00:02,Closed,PDF reader missing
9,19,1,Hardware,Low,2024-01-12 13:24:29,2024-01-14 02:14:45,Closed,Laptop will not power on
10,5,1,Hardware,High,2024-01-05 13:57:31,2024-01-06 02:17:21,Closed,Replace failing SSD
11,40,3,Hardware,Medium,2024-01-06 13:22:25,2024-01-07 04:57:37,Closed,Replace failing SSD
12,7,2,Network,Low,2024-01-20 11:11:31,2024-01-22 01:29:13,Closed,Guest network open to staff VLAN
13,24,1,Hardware,Medium,2024-01-03 10:11:44,2024-01-04 21:43:34,Closed,Keyboard keys unresponsive
14,27,2,Accounts,High,2024-01-06 15:00:46,2024-01-06 17:17:53,Closed,Group membership change
15,7,3,Network,Low,2024-01-09 17:41:05,2024-01-14 07:38:38,Closed,Guest network open to staff VLAN
16,33,2,Network,High,2024-01-09 17:55:27,2024-01-09 18:26:21,Closed,VPN will not connect
17,25,4,Security,High,2024-01-03 10:00:10,2024-01-03 15:10:35,Closed,Phishing email reported
18,1,4,Hardware,High,2024-01-15 09:28:17,2024-01-15 16:30:18,Closed,Printer jams on every job
19,17,2,Accounts,Medium,2024-01-24 17:41:58,2024-01-24 20:32:48,Closed,Password reset request
20,13,2,Network,Medium,2024-01-05 14:34:24,2024-01-07 02:58:28,Closed,VPN will not connect
21,9,2,Network,Low,2024-01-01 16:37:58,2024-01-04 20:44:21,Closed,Wi-Fi drops in back office
22,7,5,Network,Medium,2024-01-06 18:40:57,2024-01-08 03:04:28,Closed,Slow file share access
23,20,4,Hardware,Low,2024-01-16 09:48:20,2024-01-21 13:06:15,Closed,Laptop will not power on
24,11,1,Hardware,High,2024-01-08 17:40:10,2024-01-08 19:01:38,Closed,Laptop will not power on
25,11,3,Network,Medium,2024-01-24 10:03:34,2024-01-26 04:32:19,Closed,VPN will not connect
26,4,8,Hardware,High,2024-01-01 15:22:23,2024-01-02 03:13:54,Closed,Keyboard keys unresponsive
27,36,1,Software,Medium,2024-01-14 14:02:02,2024-01-18 17:02:51,Closed,PDF reader missing
28,26,5,Software,Medium,2024-01-25 13:45:22,2024-01-27 21:57:34,Closed,License activation error
29,18,5,Software,Low,2024-01-25 18:45:42,2024-01-31 22:01:17,Closed,PDF reader missing
30,37,4,Hardware,High,2024-01-01 08:05:24,2024-01-01 11:11:38,Closed,Docking station not detected
31,22,2,Hardware,Medium,2024-01-01 18:58:41,2024-01-02 05:05:22,Closed,Replace failing SSD
32,28,6,Hardware,Medium,2024-01-17 15:47:02,2024-01-18 16:33:31,Closed,Printer jams on every job
33,32,2,Network,Medium,2024-01-11 08:54:24,2024-01-11 18:25:00,Closed,VPN will not connect
34,9,6,Hardware,Medium,2024-01-12 12:17:13,2024-01-12 23:09:02,Closed,Replace failing SSD
35,37,3,Hardware,Low,2024-01-31 10:39:22,2024-01-31 18:14:29,Closed,Replace failing SSD
36,27,1,Network,Medium,2024-01-31 18:36:15,2024-01-31 19:35:24,Closed,Slow file share access
37,39,8,Software,Medium,2024-01-23 09:30:32,2024-01-23 22:09:34,Closed,Update failed to install
38,6,8,Network,Low,2024-01-29 09:08:05,2024-01-30 20:06:29,Closed,Switch port down
39,31,4,Hardware,Medium,2024-01-09 13:05:01,2024-01-09 21:58:45,Closed,Replace failing SSD
40,21,4,Hardware,Low,2024-01-24 16:12:01,2024-01-24 18:16:53,Closed,Printer jams on every job
41,15,6,Network,Medium,2024-01-29 08:15:44,2024-01-29 15:06:47,Closed,Wi-Fi drops in back office
